L.iso,F.id
amh,49A
amh,50A
amh,51A
amh,54A
amh,55A
amh,57A
amh,58A
amh,58B
amh,59A
amh,62A
amh,63A
amh,65A
amh,66A
amh,67A
amh,68A
amh,69A
amh,70A
amh,71A
amh,72A
amh,74A
amh,75A
amh,76A
amh,81A
amh,82A
amh,83A
amh,85A
amh,86A
amh,87A
amh,88A
amh,89A
amh,90A
amh,90B
amh,93A
amh,94A
amh,95A
amh,96A
amh,97A
amh,100A
amh,101A
amh,102A
amh,103A
amh,104A
amh,105A
amh,107A
amh,111A
amh,112A
amh,116A
amh,117A
amh,118A
amh,119A
amh,120A
amh,121A
amh,129A
amh,130A
amh,131A
amh,136A
amh,136B
amh,137A
amh,137B
amh,138A
amh,143A
amh,143B
amh,143E
amh,143F
amh,143G
amh,144A
amh,144L
amh,144N
amh,144P
amh,144Q
amh,144R
amh,144S
amn,9A
amn,26A
amn,33A
amn,37A
amn,38A
amn,51A
amn,57A
amn,69A
amn,81A
amn,82A
amn,83A
amn,84A
amn,86A
amn,87A
amn,88A
amn,92A
amn,93A
amn,97A
amn,112A
amn,116A
amn,143A
amn,143B
amn,143E
amn,143F
amn,143G
amn,144A
amn,144L
amn,144N
amn,144S
amo,1A
amo,2A
amo,3A
amo,4A
amo,5A
amo,6A
amo,7A
amo,8A
amo,11A
amo,12A
amo,13A
amo,18A
amo,19A
amo,26A
amo,33A
amo,57A
amo,69A
amo,71A
amo,83A
amo,87A
amo,88A
amo,89A
amo,90A
amo,90C
amo,92A
amo,94A
amo,96A
amo,97A
amo,112A
amo,116A
amo,143A
amo,143B
amo,143E
amo,143F
amo,143G
amp,1A
amp,2A
amp,3A
amp,4A
amp,5A
amp,6A
amp,7A
amp,8A
amp,9A
amp,10A
amp,11A
amp,12A
amp,13A
amp,14A
amp,15A
amp,16A
amp,18A
amp,19A
amp,20A
amp,21A
amp,21B
amp,22A
amp,23A
amp,24A
amp,25A
amp,25B
amp,26A
amp,27A
amp,28A
amp,29A
amp,30A
amp,31A
amp,32A
amp,33A
amp,34A
amp,35A
amp,36A
amp,37A
amp,38A
amp,39A
amp,40A
amp,41A
amp,42A
amp,43A
amp,44A
amp,45A
amp,47A
amp,48A
amp,49A
amp,50A
amp,51A
amp,52A
amp,53A
amp,55A
amp,57A
amp,58A
amp,58B
amp,59A
amp,62A
amp,63A
amp,64A
amp,65A
amp,66A
amp,67A
amp,68A
amp,69A
amp,70A
amp,71A
amp,72A
amp,73A
amp,77A
amp,78A
amp,79A
amp,79B
amp,80A
amp,81A
amp,82A
amp,83A
amp,84A
amp,85A
amp,86A
amp,87A
amp,88A
amp,89A
amp,90A
amp,90B
amp,91A
amp,92A
amp,93A
amp,95A
amp,96A
amp,97A
amp,98A
amp,100A
amp,101A
amp,102A
amp,103A
amp,104A
amp,105A
amp,107A
amp,108A
amp,108B
amp,109A
amp,109B
amp,111A
amp,112A
amp,113A
amp,114A
amp,116A
amp,117A
amp,118A
amp,119A
amp,120A
amp,122A
amp,123A
amp,125A
amp,126A
amp,127A
amp,131A
amp,136A
amp,136B
amp,137A
amp,137B
amp,143A
amp,143E
amp,143F
amp,143G
amp,144A
amp,144B
amp,144L
amp,144P
amp,144Q
amp,144R
amp,144S
amr,55A
amr,85A
amr,87A
amr,88A
amr,89A
amr,129A
amr,130A
amr,132A
amr,133A
amr,134A
amr,135A
amu,1A
amu,2A
amu,3A
amu,4A
amu,5A
amu,6A
amu,7A
amu,8A
amu,9A
amu,11A
amu,12A
amu,13A
amu,18A
amu,19A
amu,132A
amu,133A
amu,134A
amu,135A
amy,51A
amy,81A
amy,82A
amy,83A
amy,84A
amy,85A
amy,87A
amy,89A
amy,93A
amy,95A
amy,96A
amy,97A
anc,1A
anc,2A
anc,3A
anc,4A
anc,5A
anc,6A
anc,7A
anc,8A
anc,11A
anc,12A
anc,13A
anc,18A
anc,19A
anc,26A
anc,33A
anc,51A
anc,57A
anc,69A
anc,81A
anc,82A
anc,83A
anc,84A
anc,85A
anc,86A
anc,87A
anc,88A
anc,89A
anc,90A
anc,90C
anc,92A
anc,93A
anc,95A
anc,96A
anc,97A
anc,106A
anc,112A
anc,116A
anc,143A
anc,143E
anc,143F
anc,143G
anc,144A
anc,144B
anc,144D
anc,144H
anc,144I
anc,144J
anc,144K
ani,54A
ann,26A
ann,33A
ann,37A
ann,38A
ann,51A
ann,57A
ann,64A
ann,69A
ann,70A
ann,71A
ann,72A
ann,73A
ann,81A
ann,82A
ann,83A
ann,84A
ann,85A
ann,86A
ann,87A
ann,88A
ann,89A
ann,90A
ann,90C
ann,91A
ann,92A
ann,93A
ann,94A
ann,95A
ann,96A
ann,97A
ann,101A
ann,105A
ann,112A
ann,116A
ann,124A
ann,143A
ann,143E
ann,143F
ann,143G
ann,144A
ann,144D
ann,144H
ann,144I
ann,144J
ann,144K
ano,1A
ano,2A
ano,3A
ano,4A
ano,5A
ano,6A
ano,7A
ano,8A
ano,9A
ano,11A
ano,12A
ano,13A
ano,18A
ano,19A
ano,27A
ano,51A
ano,52A
ano,63A
ano,70A
ano,77A
ano,78A
ano,85A
ano,86A
ano,88A
ano,113A
ano,114A
ano,121A
ano,131A
anu,26A
anu,33A
anu,37A
anu,38A
anu,41A
anu,42A
anu,51A
anu,69A
anu,81A
anu,82A
anu,83A
anu,84A
anu,85A
anu,86A
anu,87A
anu,88A
anu,89A
anu,90A
anu,90C
anu,93A
anu,95A
anu,96A
anu,97A
anu,101A
anu,122A
anu,123A
anu,125A
anu,126A
anu,127A
anu,128A
anu,143A
anu,143E
anu,143F
anu,143G
anu,144A
anu,144B
any,33A
any,69A
any,81A
any,82A
any,83A
any,84A
any,86A
any,87A
any,97A
aoa,45A
aoa,53A
aoa,70A
aoa,71A
aoc,77A
aoc,78A
aoc,129A
aoc,130A
aoi,26A
aoi,33A
aoi,51A
aoi,57A
aoi,69A
aoi,81A
aoi,82A
aoi,83A
aoi,85A
aoi,86A
aoi,88A
aoi,94A
aoi,95A
aoi,112A
aoi,116A
aoi,143A
aoi,143C
aoi,143E
aoi,143F
aoi,143G
aoi,144A
aoi,144B
aoi,144T
aoi,144U
aoi,144V
aoi,144W
aoi,144X
aoj,26A
aoj,33A
aoj,38A
aoj,51A
aoj,57A
aoj,69A
aoj,81A
aoj,82A
aoj,83A
aoj,84A
aoj,86A
aoj,87A
aoj,88A
aoj,89A
aoj,90A
aoj,90C
aoj,92A
aoj,93A
aoj,96A
aoj,97A
aoj,101A
aoj,112A
aoj,116A
aoj,143A
aoj,143B
aoj,143E
aoj,143F
aoj,143G
aoj,144A
aoj,144D
aoj,144F
apj,124A
