L.glottocode,name,dataset,dialect,Consonant,Vowel,Group
erzy1239,Mordvin (Erzya),ea,Erzya - Erzya (Standard),29,6,29006
gura1252,Gurr-goni,er,Gurr-Goni - ~N/A~,22,5,22005
sind1272,Sindhi,ph,Sindhi - Vicholi,44,10,44010
malo1243,Tamabo,ph,Tamambo; Malo - ~N/A~,16,5,16005
juru1256,Juruna,saphon,Jurúna - ~N/A~,18,10,18010
konk1267,Konkani,ra,Konkani - ~N/A~,35,10,35010
ikkk1242,Ik,upsid,IK - ~N/A~,31,13,31013
wame1240,Konyagi,upsid,KONYAGI - ~N/A~,39,7,39007
rama1270,Rama,ph,Rama - ~N/A~,19,9,19009
tehu1242,Tehuelche,saphon,Tehuelche - ~N/A~,25,6,25006
