Name,glottocode,Genus,Family,Latitude,Longitude
"Berber (Mzab)","tumz1238","Berber","Afro-Asiatic",32.5,3.5
"Bunuba","buna1275","Bunuban","Bunuban",-17.75,125.75
"Bini","bini1246","Edoid","Niger-Congo",6.41666666667,5.83333333333
"Bankon","bank1256","Bantoid","Niger-Congo",4.41666666667,9.58333333333
"Bobangi","bang1354","Bantoid","Niger-Congo",-1.33333333333,17.3333333333
"Berber (Siwa)","siwi1239","Berber","Afro-Asiatic",29.1666666667,25.5
"Busa","busa1253","Eastern Mande","Mande",9.66666666667,4.0
"Cakchiquel","kaqc1270","Mayan","Mayan",14.5,-91.0
"Chambri","cham1313","Lower Sepik","Lower Sepik-Ramu",-4.16666666667,143.083333333
"Chantyal","chan1310","Bodic","Sino-Tibetan",28.5833333333,83.4166666667
"Chin (Mara)","mara1382","Kuki-Chin","Sino-Tibetan",23.0,93.1666666667
"Chiquitano","chiq1248","Chiquito","Chiquito",-17.5,-60.0
"Crow","crow1244","Core Siouan","Siouan",47.0,-108.0
"Dâw","daww1239","Nadahup","Nadahup",-0.25,-67.0833333333
"Dargwa","darg1241","Lak-Dargwa","Nakh-Daghestanian",42.25,47.4166666667
"Dulong","drun1238","Nungish","Sino-Tibetan",28.0,98.3333333333
"Enya","enya1247","Bantoid","Niger-Congo",-0.5,25.25
"Fongbe","fonn1241","Kwa","Niger-Congo",6.41666666667,2.16666666667
"Gamo","gamo1243","North Omotic","Afro-Asiatic",6.66666666667,37.25
"Gela","gela1263","Oceanic","Austronesian",-9.08333333333,160.25
"Gilaki","gila1241","Iranian","Indo-European",37.3333333333,50.0
"Gitksan","gitx1241","Tsimshianic","Penutian",55.3333333333,-127.75
"Ga'anda","gaan1243","Biu-Mandara","Afro-Asiatic",10.3333333333,12.5833333333
"Guhu-Samane","guhu1244","Binanderean","Trans-New Guinea",-8.0,147.333333333
"Gworok","tyap1238","Platoid","Niger-Congo",9.91666666667,8.16666666667
"Hdi","hdii1240","Biu-Mandara","Afro-Asiatic",11.8666666667,13.7166666667
"Hemba","hemb1242","Bantoid","Niger-Congo",-6.25,27.1666666667
"Hanga Hundi","hang1263","Ndu","Sepik",-3.83333333333,142.916666667
"Mina","mina1276","Biu-Mandara","Afro-Asiatic",10.3333333333,13.8333333333
"Haya","haya1250","Bantoid","Niger-Congo",-2.0,31.5
