Name,ISO 639-3,Genus,Family,Macroarea,Latitude,Longitude,Countries
Chuave,cjv,Chimbu,Trans-New Guinea,Papunesia,-6.12,145.12,Papua New Guinea
Chukchi,ckt,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Eurasia,67.0,-173.0,Russia
Chumash (Barbare�o),boi,Chumash,Chumash,North America,34.5,-120.25,United States
Chumburung,ncu,Kwa,Niger-Congo,Africa,7.75,0.25,Ghana
Chuvash,chv,Turkic,Altaic,Eurasia,55.5,47.5,Russia
Cocama,cod,Tupi-Guaran�,Tupian,South America,-5.0,-74.5,Peru
Coeur d'Alene,crd,Interior Salish,Salishan,North America,47.25,-116.5,United States
Cof�n,con,Cof�n,Cof�n,South America,0.17,-77.17,Ecuador
Cogui,kog,Arhuacic,Chibchan,South America,11.0,-73.83,Colombia
Comanche,com,Numic,Uto-Aztecan,North America,33.5,-101.5,United States
Comox,coo,Central Salish,Salishan,North America,50.17,-125.0,Canada
Crow,cro,Core Siouan,Siouan,North America,47.0,-108.0,United States
Cubeo,cub,Tucanoan,Tucanoan,South America,1.33,-70.5,Colombia
Cuiba,cui,Guahiban,Guahiban,South America,6.5,-70.0,Colombia
Culina,cul,Arauan,Arauan,South America,-6.0,-70.5,Brazil
Cupe�o,cup,California Uto-Aztecan,Uto-Aztecan,North America,33.17,-116.5,United States
Curripaco,kpc,Inland Northern Arawakan,Arawakan,South America,2.5,-68.5,Colombia
Czech,ces,Slavic,Indo-European,Eurasia,50.0,15.0,Czech Republic
Dadibi,mps,Teberan,Teberan-Pawaian,Papunesia,-6.55,144.58,Papua New Guinea
Dadjriwal�,god,Kru,Niger-Congo,Africa,5.25,-5.67,C�te d'Ivoire
Dagaare,dga,Northern-Central Gur,Niger-Congo,Africa,10.5,-2.67,Burkina Faso
Dagbani,dag,Northern-Central Gur,Niger-Congo,Africa,9.58,-0.5,Ghana
Dagur,dta,Mongolic,Altaic,Eurasia,48.0,124.0,China
Dahalo,dal,Dahalo,Afro-Asiatic,Africa,-2.33,40.5,Kenya
Daju (Dar Fur),daj,Daju,Eastern Sudanic,Africa,12.25,25.25,Sudan
Damana,mbp,Arhuacic,Chibchan,South America,11.0,-73.5,Colombia
Dangal�at (Western),daa,East Chadic,Afro-Asiatic,Africa,12.17,18.33,Chad
Dani (Lower Grand Valley),dni,Dani,Trans-New Guinea,Papunesia,-4.33,138.83,Indonesia
Danish,dan,Germanic,Indo-European,Eurasia,56.0,10.0,Denmark
Darma,drd,Bodic,Sino-Tibetan,Eurasia,30.0,79.75,India
D�w,kwa,Nadahup,Nadahup,South America,-0.25,-67.08,Brazil
Defaka,afn,Ijoid,Ijoid,Africa,4.58,7.5,Nigeria
Degema,deg,Edoid,Niger-Congo,Africa,4.75,6.75,Nigeria
Den�,dny,Arauan,Arauan,South America,-6.0,-67.0,Brazil
Desano,des,Tucanoan,Tucanoan,South America,0.83,-69.83,Colombia
Dhalandji,dhl,Western Pama-Nyungan,Pama-Nyungan,Australia,-22.08,115.0,Australia
Dharawal,tbh,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-34.5,150.5,Australia
Dhargari,dhr,Western Pama-Nyungan,Pama-Nyungan,Australia,-23.75,114.92,Australia
Dhimal,dhi,Dhimalic,Sino-Tibetan,Eurasia,26.67,87.75,Nepal
Dhivehi,div,Indic,Indo-European,Eurasia,4.17,73.5,Maldives
Dhurga,dhu,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-35.67,150.0,Australia
Dhuwal (D�tiwuy),duj,Western Pama-Nyungan,Pama-Nyungan,Australia,-12.17,136.25,Australia
Didinga,did,Surmic,Eastern Sudanic,Africa,4.5,33.5,South Sudan
